guess,mean q(g),var q(g)
conic,136.11764705882354,49446.235294117665
copse,136.11764705882354,31501.86029411765
coral,136.11764705882354,33531.73529411765
corer,144.625,31775.983333333334
corny,144.625,33497.98333333333
couch,165.28571428571428,67771.14285714286
cough,144.625,53077.316666666666
could,144.625,43695.583333333336
count,144.625,35987.583333333336
coupe,165.28571428571428,36595.45054945054
court,136.11764705882354,32037.23529411765
coven,154.26666666666668,38988.06666666667
cover,128.55555555555554,30854.14379084967
covet,154.26666666666668,32299.352380952383
covey,154.26666666666668,38478.209523809535
cower,128.55555555555554,30591.673202614373
coyly,178.0,57949.166666666664
crack,154.26666666666668,48100.35238095238
craft,136.11764705882354,31599.485294117647
cramp,144.625,40153.583333333336
crane,136.11764705882354,19296.735294117647
crank,136.11764705882354,34635.73529411765
crash,136.11764705882354,32460.610294117647
crass,165.28571428571428,43303.142857142855
crate,121.78947368421052,18850.39766081872
crave,128.55555555555554,22855.08496732026
crawl,154.26666666666668,38973.92380952381
craze,144.625,25393.316666666666
crazy,144.625,39374.51666666667
creak,128.55555555555554,29862.849673202614
cream,128.55555555555554,30241.084967320257
credo,128.55555555555554,32117.55555555555
creed,154.26666666666668,38006.066666666666
creek,154.26666666666668,41451.780952380956
creep,144.625,38664.916666666664
creme,144.625,35090.51666666667
crepe,144.625,34797.05
crept,128.55555555555554,29066.49673202614
cress,144.625,38278.11666666667
crest,121.78947368421052,25122.95321637427
crick,165.28571428571428,59728.37362637363
cried,115.7,25875.273684210522
crier,144.625,31735.85
crime,121.78947368421052,24706.619883040938
crimp,144.625,45099.05
crisp,154.26666666666668,39626.209523809535
croak,121.78947368421052,34650.73099415204
crock,154.26666666666668,54844.066666666666
crone,144.625,21411.05
crony,144.625,32203.583333333332
crook,144.625,53638.916666666664
cross,154.26666666666668,47248.63809523809
croup,144.625,42862.78333333333
crowd,154.26666666666668,47647.352380952376
crown,154.26666666666668,44980.06666666667
crude,136.11764705882354,27620.73529411765
cruel,136.11764705882354,28702.735294117647
crumb,165.28571428571428,59878.68131868132
crump,154.26666666666668,54602.20952380953
crush,144.625,41135.45
crust,128.55555555555554,31759.320261437904
crypt,154.26666666666668,46531.49523809523
cubic,192.83333333333334,91230.1515151515
cumin,144.625,51683.583333333336
curio,154.26666666666668,45645.20952380953
curly,144.625,44788.78333333333
curry,192.83333333333334,63822.69696969697
curse,136.11764705882354,28132.11029411765
curve,128.55555555555554,32175.790849673198
curvy,165.28571428571428,56349.14285714287
cutie,165.28571428571428,33329.45054945055
cyber,154.26666666666668,46868.20952380953
cycle,178.0,50633.5
cynic,144.625,69406.51666666666
daddy,210.36363636363637,94588.45454545456
daily,128.55555555555554,30660.73202614379
dairy,136.11764705882354,32425.985294117647
daisy,128.55555555555554,33783.43790849673
dally,136.11764705882354,44668.36029411765
dance,154.26666666666668,28876.638095238097
dandy,154.26666666666668,53667.780952380934
datum,165.28571428571428,52829.2967032967
daunt,144.625,38448.51666666667
dealt,136.11764705882354,26519.360294117647
death,121.78947368421052,30471.286549707598
debar,128.55555555555554,33565.20261437908
debit,154.26666666666668,39735.20952380953
debug,154.26666666666668,58082.20952380951
debut,154.26666666666668,44727.209523809506
decal,144.625,38024.78333333333
decay,136.11764705882354,35612.11029411764
